OUTPUT FOR RE-WEIGHTED WEIGHTS:

output for rbf kernel for all c and gamma :

degree= 2 c= 0.5 ;score= 0.6774193548387096
degree= 2 c= 2 ;score= 0.7027027027027027
degree= 2 c= 4 ;score= 0.7297297297297297
degree= 2 c= 16 ;score= 0.7837837837837838
degree= 2 c= 8 ;score= 0.7837837837837838
degree= 3 c= 0.03125 ;score= 0.7837837837837838
degree= 3 c= 0.0625 ;score= 0.7837837837837838
degree= 3 c= 0.125 ;score= 0.8108108108108109
degree= 3 c= 0.25 ;score= 0.7837837837837838
degree= 3 c= 0.5 ;score= 0.7567567567567568
degree= 3 c= 2 ;score= 0.7027027027027027
degree= 3 c= 4 ;score= 0.6486486486486487
degree= 3 c= 16 ;score= 0.6486486486486487
degree= 3 c= 8 ;score= 0.6486486486486487
degree= 4 c= 0.03125 ;score= 0.7419354838709677
degree= 4 c= 0.0625 ;score= 0.7096774193548387
degree= 4 c= 0.125 ;score= 0.7297297297297297
degree= 4 c= 0.25 ;score= 0.7297297297297297
degree= 4 c= 0.5 ;score= 0.7567567567567568
degree= 4 c= 2 ;score= 0.8108108108108109
degree= 4 c= 4 ;score= 0.7567567567567568
degree= 4 c= 16 ;score= 0.8108108108108109
degree= 4 c= 8 ;score= 0.8108108108108109
degree= 1 c= 0.03125 ;score= 0.34285714285714286
degree= 1 c= 0.0625 ;score= 0.48484848484848486
degree= 1 c= 0.125 ;score= 0.5151515151515151
degree= 1 c= 0.25 ;score= 0.4864864864864865
degree= 1 c= 0.5 ;score= 0.4864864864864865
degree= 1 c= 2 ;score= 0.6756756756756757
degree= 1 c= 4 ;score= 0.6060606060606061
degree= 1 c= 16 ;score= 0.6774193548387096
degree= 1 c= 8 ;score= 0.6060606060606061
degree= 2 c= 0.03125 ;score= 0.6451612903225806
degree= 2 c= 0.0625 ;score= 0.7027027027027027
degree= 2 c= 0.125 ;score= 0.6774193548387096
degree= 2 c= 0.25 ;score= 0.7027027027027027
degree= 2 c= 0.5 ;score= 0.7027027027027027
degree= 2 c= 2 ;score= 0.7837837837837838
degree= 2 c= 4 ;score= 0.7837837837837838
degree= 2 c= 16 ;score= 0.7567567567567568
degree= 2 c= 8 ;score= 0.7567567567567568
degree= 3 c= 0.03125 ;score= 0.7837837837837838
degree= 3 c= 0.0625 ;score= 0.7567567567567568
degree= 3 c= 0.125 ;score= 0.7567567567567568
degree= 3 c= 0.25 ;score= 0.7027027027027027
degree= 3 c= 0.5 ;score= 0.6486486486486487
degree= 3 c= 2 ;score= 0.6486486486486487
degree= 3 c= 4 ;score= 0.6756756756756757
degree= 3 c= 16 ;score= 0.7837837837837838
degree= 3 c= 8 ;score= 0.7027027027027027
degree= 4 c= 0.03125 ;score= 0.7567567567567568
degree= 4 c= 0.0625 ;score= 0.7837837837837838
degree= 4 c= 0.125 ;score= 0.8108108108108109
degree= 4 c= 0.25 ;score= 0.7567567567567568
degree= 4 c= 0.5 ;score= 0.8108108108108109
degree= 4 c= 2 ;score= 0.7837837837837838
degree= 4 c= 4 ;score= 0.8108108108108109
degree= 4 c= 16 ;score= 0.7837837837837838
degree= 4 c= 8 ;score= 0.7837837837837838
degree= 1 c= 0.03125 ;score= 0.48484848484848486
degree= 1 c= 0.0625 ;score= 0.5151515151515151
degree= 1 c= 0.125 ;score= 0.4864864864864865
degree= 1 c= 0.25 ;score= 0.4864864864864865
degree= 1 c= 0.5 ;score= 0.5405405405405406
degree= 1 c= 2 ;score= 0.6060606060606061
degree= 1 c= 4 ;score= 0.6060606060606061
degree= 1 c= 16 ;score= 0.7027027027027027
degree= 1 c= 8 ;score= 0.6774193548387096
degree= 2 c= 0.03125 ;score= 0.6774193548387096
degree= 2 c= 0.0625 ;score= 0.7027027027027027
degree= 2 c= 0.125 ;score= 0.7027027027027027
degree= 2 c= 0.25 ;score= 0.7297297297297297
degree= 2 c= 0.5 ;score= 0.7837837837837838
degree= 2 c= 2 ;score= 0.7567567567567568
degree= 2 c= 4 ;score= 0.7567567567567568
degree= 2 c= 16 ;score= 0.7837837837837838
degree= 2 c= 8 ;score= 0.7837837837837838
degree= 3 c= 0.03125 ;score= 0.7027027027027027
degree= 3 c= 0.0625 ;score= 0.6486486486486487
degree= 3 c= 0.125 ;score= 0.6486486486486487
degree= 3 c= 0.25 ;score= 0.6486486486486487
degree= 3 c= 0.5 ;score= 0.6756756756756757
degree= 3 c= 2 ;score= 0.7837837837837838
degree= 3 c= 4 ;score= 0.7297297297297297
degree= 3 c= 16 ;score= 0.7297297297297297
degree= 3 c= 8 ;score= 0.7837837837837838
degree= 4 c= 0.03125 ;score= 0.8108108108108109
degree= 4 c= 0.0625 ;score= 0.8108108108108109
degree= 4 c= 0.125 ;score= 0.7837837837837838
degree= 4 c= 0.25 ;score= 0.8108108108108109
degree= 4 c= 0.5 ;score= 0.7837837837837838
degree= 4 c= 2 ;score= 0.7567567567567568
degree= 4 c= 4 ;score= 0.7837837837837838
degree= 4 c= 16 ;score= 0.7567567567567568
degree= 4 c= 8 ;score= 0.7567567567567568
degree= 1 c= 0.03125 ;score= 0.5151515151515151
degree= 1 c= 0.0625 ;score= 0.4864864864864865
degree= 1 c= 0.125 ;score= 0.4864864864864865
degree= 1 c= 0.25 ;score= 0.5405405405405406
degree= 1 c= 0.5 ;score= 0.6756756756756757
degree= 1 c= 2 ;score= 0.6060606060606061
degree= 1 c= 4 ;score= 0.6774193548387096
degree= 1 c= 16 ;score= 0.6756756756756757
degree= 1 c= 8 ;score= 0.7027027027027027
degree= 2 c= 0.03125 ;score= 0.7027027027027027
degree= 2 c= 0.0625 ;score= 0.7297297297297297
degree= 2 c= 0.125 ;score= 0.7837837837837838
degree= 2 c= 0.25 ;score= 0.7837837837837838
degree= 2 c= 0.5 ;score= 0.7567567567567568
degree= 2 c= 2 ;score= 0.7837837837837838
degree= 2 c= 4 ;score= 0.7837837837837838
degree= 2 c= 16 ;score= 0.8108108108108109
degree= 2 c= 8 ;score= 0.8108108108108109
degree= 3 c= 0.03125 ;score= 0.6486486486486487
degree= 3 c= 0.0625 ;score= 0.6756756756756757
degree= 3 c= 0.125 ;score= 0.7027027027027027
degree= 3 c= 0.25 ;score= 0.7837837837837838
degree= 3 c= 0.5 ;score= 0.7297297297297297
degree= 3 c= 2 ;score= 0.7297297297297297
degree= 3 c= 4 ;score= 0.7297297297297297
degree= 3 c= 16 ;score= 0.7837837837837838
degree= 3 c= 8 ;score= 0.7837837837837838
degree= 4 c= 0.03125 ;score= 0.7837837837837838
degree= 4 c= 0.0625 ;score= 0.7837837837837838
degree= 4 c= 0.125 ;score= 0.7567567567567568
degree= 4 c= 0.25 ;score= 0.7837837837837838
degree= 4 c= 0.5 ;score= 0.7567567567567568
degree= 4 c= 2 ;score= 0.7567567567567568
degree= 4 c= 4 ;score= 0.7567567567567568
degree= 4 c= 16 ;score= 0.7297297297297297
degree= 4 c= 8 ;score= 0.7567567567567568

optimal hyperparameter are: degree= 4 c= 0.03125 gamma= 0.015625 accuracy= 0.8108108108108109
overall accuracy for poly 0.7209302325581395

Output for sigmoid kernel for all c , gamma and coeff0

c= 0.03125 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.35714285714285715
c= 0.0625 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.35714285714285715
