Output for one vs one :

output for rbf 

degree= 4 c= 8 ;score= 0.8378378378378378

optimal hyperparameter are: degree= 2 c= 16 gamma= 0.25 accuracy= 0.8648648648648649
overall accuracy for poly 0.7209302325581395

output for sigmoid:
c= 0.03125 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.375
c= 0.0625 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.375
c= 0.125 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.375
c= 0.25 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.375
c= 0.5 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.375
c= 1 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.375
c= 2 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.375
c= 4 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.375
c= 8 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.375
c= 16 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.375
c= 32 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.375
c= 64 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.375
c= 128 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.375
c= 256 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.375
c= 512 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.47619047619047616
c= 1024 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.475
c= 0.03125 ;gamma= 0.0001220703125 coeff 1 ;score= 0.375
c= 0.0625 ;gamma= 0.0001220703125 coeff 1 ;score= 0.375
c= 0.125 ;gamma= 0.0001220703125 coeff 1 ;score= 0.375
c= 0.25 ;gamma= 0.0001220703125 coeff 1 ;score= 0.375
c= 0.5 ;gamma= 0.0001220703125 coeff 1 ;score= 0.375
c= 1 ;gamma= 0.0001220703125 coeff 1 ;score= 0.375
c= 2 ;gamma= 0.0001220703125 coeff 1 ;score= 0.375
c= 4 ;gamma= 0.0001220703125 coeff 1 ;score= 0.375
c= 8 ;gamma= 0.0001220703125 coeff 1 ;score= 0.375
c= 16 ;gamma= 0.0001220703125 coeff 1 ;score= 0.375
c= 32 ;gamma= 0.0001220703125 coeff 1 ;score= 0.375
c= 64 ;gamma= 0.0001220703125 coeff 1 ;score= 0.375
c= 128 ;gamma= 0.0001220703125 coeff 1 ;score= 0.375
c= 256 ;gamma= 0.0001220703125 coeff 1 ;score= 0.38095238095238093
c= 512 ;gamma= 0.0001220703125 coeff 1 ;score= 0.4888888888888889
c= 1024 ;gamma= 0.0001220703125 coeff 1 ;score= 0.5681818181818182
